world_rank,university_name,country,teaching,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
121,University of Zurich,Switzerland,38,29.8,78.1,39.2,51.2,"26,583",6.5,19%,2014
1,California Institute of Technology,United States of America,92.2,98.1,99.7,89.1,94.3,"2,243",6.9,27%,2015
3,University of Oxford,United Kingdom,88.6,97.7,95.5,72.9,93.2,"19,919",11.6,34%,2015
4,Stanford University,United States of America,91.5,96.7,99.1,63.1,92.9,"15,596",7.8,22%,2015
5,University of Cambridge,United Kingdom,89.7,95.6,95.2,51.1,92,"18,812",11.8,34%,2015
6,Massachusetts Institute of Technology,United States of America,89.1,88.2,100,95.7,91.9,"11,074",9,33%,2015
7,Princeton University,United States of America,86.6,94.7,99.6,82.7,90.9,"7,929",8.4,27%,2015
8,"University of California, Berkeley",United States of America,84.2,96.7,99.1,44.8,89.5,"36,186",16.4,15%,2015
9,Imperial College London,United Kingdom,84.6,88.3,89.4,72.7,87.5,"15,060",11.7,51%,2015
9,Yale University,United States of America,88.5,90.8,94,42,87.5,"11,751",4.4,20%,2015
11,University of Chicago,United States of America,83.9,89.9,97.3,36.8,87.1,"14,221",6.9,21%,2015
13,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,78.2,90.2,83.5,73.2,84.6,"18,178",14.7,37%,2015
15,Johns Hopkins University,United States of America,75.6,84.2,93.6,100,83,"15,128",3.6,23%,2015
16,University of Pennsylvania,United States of America,79,82,94.4,43,81,"20,376",6.5,20%,2015
17,University of Michigan,United States of America,77,86.5,88.9,55.7,80.9,"41,786",9,16%,2015
18,Duke University,United States of America,73.5,75.2,96.6,100,79.9,"15,172",4.8,17%,2015
19,Cornell University,United States of America,71.6,83.8,91.5,33.7,79.4,"21,424",10.2,19%,2015
21,Northwestern University,United States of America,72.7,78.9,96.9,77,79.2,"18,334",13.8,15%,2015
22,University College London,United Kingdom,70.4,80.4,85.1,46.2,78.7,"26,607",10.7,46%,2015
24,Carnegie Mellon University,United States of America,61.6,74.9,92,53,74.3,"11,885",13.1,35%,2015
25,National University of Singapore,Singapore,72,78.1,66,53.4,73.3,"31,592",15.5,34%,2015
26,University of Washington,United States of America,64.5,68.9,95,44.7,73.2,"44,020",11.8,13%,2015
27,Georgia Institute of Technology,United States of America,62.5,71.2,85.8,72.3,72.8,"19,967",20.1,26%,2015
28,University of Texas at Austin,United States of America,64.3,72,91.5,58.1,72.3,"49,427",17.4,9%,2015
29,LMU Munich,Germany,65.1,69.1,83,100,71.9,"35,691",15.5,13%,2015
29,University of Illinois at Urbana-Champaign,United States of America,67.7,79,77.8,51.7,71.9,"42,727",18.7,20%,2015
29,University of Wisconsin-Madison,United States of America,67.7,71.3,87.7,53.3,71.9,"39,655",10.8,11%,2015
32,University of British Columbia,Canada,60.5,69,85.3,40.1,71.8,"50,152",17.6,25%,2015
33,University of Melbourne,Australia,60.4,70.9,80.6,61.2,71.2,"40,128",23.7,35%,2015
34,École Polytechnique Fédérale de Lausanne,Switzerland,54.7,56.9,95,61.9,70.9,"9,666",10.5,54%,2015
36,University of Edinburgh,United Kingdom,58.9,62.9,88.3,41.2,70.4,"25,774",14.1,36%,2015
37,"University of California, Santa Barbara",United States of America,49.4,61.4,99.2,87.1,70,"22,020",27.3,11%,2015
38,New York University,United States of America,68.3,62.4,89.5,30.2,69.9,"42,056",6.8,19%,2015
39,McGill University,Canada,63.3,69.9,76,38.6,69.6,"31,326",13.7,23%,2015
40,King’s College London,United Kingdom,55.6,62.3,88.3,39,69.4,"21,394",11.4,37%,2015
41,"University of California, San Diego",United States of America,52,66.6,96.4,54.2,68.6,"27,233",6.5,11%,2015
43,University of Hong Kong,Hong Kong,62.1,72.6,65.1,56,67.5,"19,835",17.6,38%,2015
44,Karolinska Institute,Sweden,57.1,68,76.8,65.5,66.8,"7,774",11.5,22%,2015
45,Australian National University,Australia,53.7,70.9,71.1,38.9,66.5,"14,604",19.2,35%,2015
46,University of North Carolina at Chapel Hill,United States of America,57.9,58.6,91,40.5,65.9,"26,518",7.3,8%,2015
49,Tsinghua University,China,64.1,68.3,65,99.7,65.1,"39,763",13.7,10%,2015
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,63.2,71.4,100,64.5,"9,027",10,9%,2015
52,University of Manchester,United Kingdom,58.1,58.7,74.3,39.4,64.5,"34,938",15.3,34%,2015
55,KU Leuven,Belgium,53,63.6,71.8,99.9,63.7,"42,503",41.9,18%,2015
55,"University of California, Davis",United States of America,54.4,59.7,80.4,55.4,63.7,"35,364",13.9,13%,2015
57,Boston University,United States of America,56.4,46.7,94.4,30.3,63.6,"24,789",8.6,17%,2015
58,Pennsylvania State University,United States of America,54.6,64.8,76,60.4,62.9,"44,501",12.4,12%,2015
60,University of Sydney,Australia,52.8,60.8,69,67.3,62.7,"41,868",20.2,28%,2015
61,Nanyang Technological University,Singapore,43.9,55.9,75.9,100,62.2,"25,028",16.2,33%,2015
61,École Polytechnique,France,50.5,47.1,79.9,76.8,62.2,"2,429",4.8,30%,2015
63,Scuola Normale Superiore di Pisa,Italy,48.2,46,96.4,40.1,61.9,462,16.5,5%,2015
64,Leiden University,Netherlands,45,58.2,82.3,47.3,61.3,"21,222",17.1,10%,2015
65,The University of Queensland,Australia,45.8,58.4,74.2,66.2,61.2,"34,718",32.7,27%,2015
66,Pohang University of Science and Technology,South Korea,52.7,49.3,84.4,100,61.1,"3,055",10.1,4%,2015
67,University of Göttingen,Germany,46.9,48,92.3,32.8,61,"25,581",25.6,12%,2015
68,Ohio State University,United States of America,54,51.1,80.4,46.8,60.7,"51,462",13.4,12%,2015
69,Rice University,United States of America,41.7,37.1,99.9,34.6,59.8,"6,333",9,26%,2015
70,Heidelberg University,Germany,52.6,45.4,81.4,41.6,59.6,"28,881",24.5,17%,2015
71,Delft University of Technology,Netherlands,55.5,71.4,42.6,100,59.2,"15,920",19.4,25%,2015
72,Erasmus University Rotterdam,Netherlands,39.8,53.7,82.3,54.4,59.1,"20,580",18.9,18%,2015
73,Wageningen University and Research Center,Netherlands,44.3,46.8,77.5,100,59,"9,248",17,21%,2015
74,University of Bristol,United Kingdom,43.7,44.7,85.1,42.1,58.9,"17,906",14,25%,2015
75,University of Basel,Switzerland,41.2,41.1,81.4,97.7,58.4,"12,551",17.3,24%,2015
75,University of Southern California,United States of America,55.2,44.6,81.3,34.4,58.4,"36,534",12.9,20%,2015
77,University of Amsterdam,Netherlands,42,55.4,76.6,56.7,58.2,"24,570",14.4,11%,2015
78,École Normale Supérieure,France,48.7,36.2,84.8,39.4,58.1,"2,400",7.9,20%,2015
79,Utrecht University,Netherlands,38.2,54.8,80,84.1,58,"30,779",15.4,7%,2015
81,Free University of Berlin,Germany,49.4,58,67.6,33.5,57.6,"33,062",39.3,20%,2015
82,Michigan State University,United States of America,51.1,49.4,74,31.7,57.3,"44,750",15.7,15%,2015
83,Durham University,United Kingdom,37.2,40.7,88.9,34.8,56.9,"15,489",15.7,24%,2015
83,Monash University,Australia,43.7,54.4,65.7,73.4,56.9,"50,882",40.5,36%,2015
85,Middle East Technical University,Turkey,45.5,36.9,92,55.2,56.6,"25,779",22.2,7%,2015
86,University of Arizona,United States of America,44.9,51.4,74,99.6,56.5,"36,429",12.7,8%,2015
88,Tufts University,United States of America,43.6,33.9,92.9,58.7,56.4,"10,410",10,14%,2015
88,"University of California, Irvine",United States of America,39.5,41.7,89.5,40,56.4,"26,614",16.1,16%,2015
90,Ghent University,Belgium,42.5,51.6,73.8,85.3,56.2,"32,166",34.1,9%,2015
91,University of Massachusetts,United States of America,44.8,49.1,78.7,52.8,56.1,"56,959",13,11%,2015
91,University of Pittsburgh,United States of America,45.2,46.3,84.4,38.5,56.1,"26,485",5.8,10%,2015
93,Emory University,United States of America,49,32.4,89.5,42.3,55.5,"12,338",4.5,18%,2015
94,McMaster University,Canada,38.1,43.2,78.8,85,55.3,"23,823",19.3,15%,2015
94,University of Glasgow,United Kingdom,37,40.5,83.7,39.9,55.3,"22,616",16,29%,2015
96,Vanderbilt University,United States of America,46,38.2,87.7,59.4,55.2,"12,161",3.6,10%,2015
98,Stockholm University,Sweden,30.1,45,90.9,32.4,54.6,"31,715",23.7,8%,2015
98,Technical University of Munich,Germany,45.6,37.4,78.8,49,54.6,"35,565",31.5,20%,2015
98,Uppsala University,Sweden,40.2,53,70.9,39.6,54.6,"25,266",18.2,12%,2015
101,Maastricht University,Netherlands,32.4,48.1,70.1,96.1,54.3,"15,626",18.9,48%,2015
103,Pierre and Marie Curie University,France,47.3,30,83.3,33.4,53.9,"27,862",8.7,18%,2015
103,University of Helsinki,Finland,37.5,48.1,79,31.5,53.9,"23,505",15.1,6%,2015
103,University of Warwick,United Kingdom,41.1,45.8,68.2,35.6,53.9,"18,529",16.6,37%,2015
103,University of Zurich,Switzerland,40.2,33.1,81.4,40.1,53.9,"26,583",6.5,19%,2015
107,Queen Mary University of London,United Kingdom,32.4,32.9,88.9,37.1,53.8,"14,260",14,40%,2015
107,University of Geneva,Switzerland,34.5,37.2,78.2,65.1,53.8,"15,668",15,39%,2015
109,"University of California, Santa Cruz",United States of America,30.6,31.9,100,33.8,53.7,"17,404",22.7,1%,2015
109,University of New South Wales,Australia,41.1,51.9,61.1,47.8,53.7,"38,309",25.9,33%,2015
111,University of St Andrews,United Kingdom,35.7,35.9,81.4,39.8,53.6,"8,338",12.7,47%,2015
111,University of Sussex,United Kingdom,31.9,30.4,92.8,31.2,53.6,"12,001",17.4,35%,2015
113,University of Montreal,Canada,43.8,44.4,62.9,91.8,53.4,"38,264",20.3,25%,2015
113,University of Tübingen,Germany,41.5,44.7,74,54.7,53.4,"28,327",38.9,12%,2015
117,University of Groningen,Netherlands,36.9,50.8,68.1,88.9,53.1,"24,556",25.6,12%,2015
118,"Royal Holloway, University of London",United Kingdom,29.1,22.4,98.9,32.8,53,"8,747",15.9,37%,2015
121,Technical University of Denmark,Denmark,39.9,28.2,79.6,98.6,52.7,"9,990",5,18%,2015
121,University of Rochester,United States of America,41.9,29.2,87.7,36.4,52.7,"9,390",4.5,26%,2015
1,California Institute of Technology,United States of America,95.6,97.6,99.8,97.8,95.2,"2,243",6.9,27%,2016
2,University of Oxford,United Kingdom,86.5,98.9,98.8,73.1,94.2,"19,919",11.6,34%,2016
3,Stanford University,United States of America,92.5,96.2,99.9,63.3,93.9,"15,596",7.8,22%,2016
4,University of Cambridge,United Kingdom,88.2,96.7,97,55,92.8,"18,812",11.8,34%,2016
5,Massachusetts Institute of Technology,United States of America,89.4,88.6,99.7,95.4,92,"11,074",9,33%,2016
7,Princeton University,United States of America,85.1,91.9,99.3,52.1,90.1,"7,929",8.4,27%,2016
8,Imperial College London,United Kingdom,83.3,88.5,96.7,53.7,89.1,"15,060",11.7,51%,2016
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77,95,91.1,80,88.3,"18,178",14.7,37%,2016
10,University of Chicago,United States of America,85.7,88.9,99.2,36.6,87.9,"14,221",6.9,21%,2016
11,Johns Hopkins University,United States of America,77.6,90.4,98.2,100,87.6,"15,128",3.6,23%,2016
12,Yale University,United States of America,86.5,87.8,97.2,43.3,87.4,"11,751",4.4,20%,2016
13,"University of California, Berkeley",United States of America,80.4,91.1,99.7,47.9,87.2,"36,186",16.4,15%,2016
14,University College London,United Kingdom,78.1,91,94.2,40.5,87.1,"26,607",10.7,46%,2016
16,"University of California, Los Angeles",United States of America,80.8,88.6,98.5,47.9,85.8,"38,206",10.3,15%,2016
17,University of Pennsylvania,United States of America,82,86.9,98.6,47.9,85.2,"20,376",6.5,20%,2016
18,Cornell University,United States of America,77.9,86.1,97.2,33.7,84,"21,424",10.2,19%,2016
20,Duke University,United States of America,76,78,99,100,82.7,"15,172",4.8,17%,2016
21,University of Michigan,United States of America,76.8,85.2,94.4,56.3,82.4,"41,786",9,16%,2016
22,Carnegie Mellon University,United States of America,67.4,88.8,99.1,57.5,82.3,"11,885",13.1,35%,2016
24,University of Edinburgh,United Kingdom,68.6,77.2,96.3,36.1,80.3,"25,774",14.1,36%,2016
25,Northwestern University,United States of America,69.8,78.4,96.5,81.2,79.5,"18,334",13.8,15%,2016
26,National University of Singapore,Singapore,71.7,84.5,79.4,49.8,79.2,"31,592",15.5,34%,2016
27,King’s College London,United Kingdom,64.5,75.8,93.8,40.1,78.2,"21,394",11.4,37%,2016
28,Karolinska Institute,Sweden,60.6,81.1,92.2,75.8,77.5,"7,774",11.5,22%,2016
29,LMU Munich,Germany,70.5,77.4,85.7,100,77.3,"35,691",15.5,13%,2016
30,New York University,United States of America,74.7,72.3,95.3,30.4,77.2,"42,056",6.8,19%,2016
31,École Polytechnique Fédérale de Lausanne,Switzerland,61.3,67.5,94.6,65.4,76.1,"9,666",10.5,54%,2016
32,University of Washington,United States of America,67.1,70,98.6,43.1,75.6,"44,020",11.8,13%,2016
33,University of Melbourne,Australia,62,75.5,86.6,64.6,75.4,"40,128",23.7,35%,2016
34,University of British Columbia,Canada,60.2,73.2,91.5,42.6,75.3,"50,152",17.6,25%,2016
35,KU Leuven,Belgium,59.9,76.9,87.3,100,74.8,"42,503",41.9,18%,2016
36,University of Illinois at Urbana-Champaign,United States of America,64.5,81.2,86.8,52.8,74.5,"42,727",18.7,20%,2016
37,Heidelberg University,Germany,68.8,69.6,88.2,68.2,74.4,"28,881",24.5,17%,2016
38,McGill University,Canada,66.1,72.1,78.9,40.3,72.6,"31,326",13.7,23%,2016
39,"University of California, San Diego",United States of America,56.9,69.8,98.7,56.7,72.2,"27,233",6.5,11%,2016
39,"University of California, Santa Barbara",United States of America,52.6,66,99.2,90.4,72.2,"22,020",27.3,11%,2016
41,Georgia Institute of Technology,United States of America,57.8,72.7,86,73.7,72.1,"19,967",20.1,26%,2016
44,"University of California, Davis",United States of America,60.1,72.7,84.3,57.3,71,"35,364",13.9,13%,2016
44,University of Hong Kong,Hong Kong,64.6,72.8,70.1,53.7,71,"19,835",17.6,38%,2016
46,University of Texas at Austin,United States of America,59.3,69.7,92.2,63.1,70.3,"49,427",17.4,9%,2016
47,Tsinghua University,China,73.3,83,58.8,100,70,"39,763",13.7,10%,2016
47,Wageningen University and Research Center,Netherlands,52.6,66.9,87.8,100,70,"9,248",17,21%,2016
50,University of Wisconsin-Madison,United States of America,65.1,68.2,86.6,48.5,69.7,"39,655",10.8,11%,2016
52,Australian National University,Australia,54.7,77.3,72.3,48,69.5,"14,604",19.2,35%,2016
53,Technical University of Munich,Germany,61,66,80.1,99.2,69.4,"35,565",31.5,20%,2016
54,École Normale Supérieure,France,70.6,47.7,87.1,37.1,69,"2,400",7.9,20%,2016
55,Nanyang Technological University,Singapore,48.4,61.3,85.6,99.9,68.2,"25,028",16.2,33%,2016
56,University of Manchester,United Kingdom,58.4,66,77.3,42,68.1,"34,938",15.3,34%,2016
56,University of Sydney,Australia,54.3,68.1,77.5,72.4,68.1,"41,868",20.2,28%,2016
58,University of Amsterdam,Netherlands,52.2,64.7,87.4,62.8,67.8,"24,570",14.4,11%,2016
60,The University of Queensland,Australia,49.2,62.8,82.4,76.7,67,"34,718",32.7,27%,2016
62,Utrecht University,Netherlands,48.1,64.3,88.1,89.1,66.6,"30,779",15.4,7%,2016
63,University of North Carolina at Chapel Hill,United States of America,58,54.5,95.9,39.4,66.4,"26,518",7.3,8%,2016
64,Boston University,United States of America,57.8,49.5,97.7,30.3,66.1,"24,789",8.6,17%,2016
65,Delft University of Technology,Netherlands,55,73.8,61.5,100,65.9,"15,920",19.4,25%,2016
65,University of Minnesota,United States of America,53.5,61,88,98.5,65.9,"46,825",18,13%,2016
67,Leiden University,Netherlands,50.5,63.1,85.2,49.8,65.7,"21,222",17.1,10%,2016
68,University of Southern California,United States of America,49.3,58.9,93,38,65.5,"36,534",12.9,20%,2016
69,University of Bristol,United Kingdom,47.6,51.6,91.2,40,64.3,"17,906",14,25%,2016
70,Durham University,United Kingdom,47.9,51.9,87.7,34.4,63.6,"15,489",15.7,24%,2016
71,Erasmus University Rotterdam,Netherlands,37.2,55.2,95.6,54.6,63.5,"20,580",18.9,18%,2016
72,Free University of Berlin,Germany,57.9,72.2,60.2,35.1,63.2,"33,062",39.3,20%,2016
73,Monash University,Australia,48.1,58.5,73.3,79.7,62.5,"50,882",40.5,36%,2016
74,University of Groningen,Netherlands,43.3,56.9,84,92.4,62.4,"24,556",25.6,12%,2016
75,Pennsylvania State University,United States of America,50.4,61.9,80.5,56.2,62.3,"44,501",12.4,12%,2016
76,University of Glasgow,United Kingdom,41.6,48.3,92.3,31.6,61.9,"22,616",16,29%,2016
76,University of Helsinki,Finland,48.4,60.4,82.1,31.6,61.9,"23,505",15.1,6%,2016
78,University of Tübingen,Germany,47,59.8,79.3,59.2,61.7,"28,327",38.9,12%,2016
79,University of Pittsburgh,United States of America,50.6,50.3,92.3,39.3,61.5,"26,485",5.8,10%,2016
80,University of Warwick,United Kingdom,47.4,53.1,78.2,37.7,61.3,"18,529",16.6,37%,2016
81,Uppsala University,Sweden,44.1,61,80.9,39.5,61.2,"25,266",18.2,12%,2016
82,University of Copenhagen,Denmark,49.8,42.7,86.2,45,61,"27,545",4.1,19%,2016
82,University of New South Wales,Australia,40.7,53.9,82.1,50,61,"38,309",25.9,33%,2016
84,University of Freiburg,Germany,47.4,51.1,80.5,100,60.7,"26,467",31.2,16%,2016
86,University of St Andrews,United Kingdom,49.7,47.3,78.8,30.6,60.4,"8,338",12.7,47%,2016
87,Vanderbilt University,United States of America,47.8,44.2,95.7,63.2,60.1,"12,161",3.6,10%,2016
88,Maastricht University,Netherlands,37.5,47.7,82.7,95.4,59.9,"15,626",18.9,48%,2016
90,Emory University,United States of America,48.3,37.1,96.7,48.9,59.7,"12,338",4.5,18%,2016
90,Ohio State University,United States of America,51.6,46.6,83.2,53.1,59.7,"51,462",13.4,12%,2016
93,University of Exeter,United Kingdom,39.4,40,94.3,31.9,59.5,"17,755",18.8,28%,2016
94,Georgetown University,United States of America,54.4,39.3,82.5,80.7,58.8,"15,408",8.5,14%,2016
94,McMaster University,Canada,39.8,44.8,84.9,88,58.8,"23,823",19.3,15%,2016
97,University of Sheffield,United Kingdom,42.4,48.8,80.1,43.4,58.6,"23,311",15.5,31%,2016
98,Queen Mary University of London,United Kingdom,34.1,41.3,93.3,36.8,58.5,"14,260",14,40%,2016
99,University of Göttingen,Germany,49.3,54.5,72.7,31.8,58,"25,581",25.6,12%,2016
99,Michigan State University,United States of America,47.3,52.6,76.8,32.2,58,"44,750",15.7,15%,2016
101,University of Basel,Switzerland,39.5,33.1,88.3,99.9,57.9,"12,551",17.3,24%,2016
101,École Polytechnique,France,53.5,44.6,64.7,82.3,57.9,"2,429",4.8,30%,2016
101,Rice University,United States of America,37.9,35.1,99.7,41.7,57.9,"6,333",9,26%,2016
104,Dartmouth College,United States of America,50.7,35.8,93.3,40.8,57.8,"6,178",6.6,16%,2016
104,University of Zurich,Switzerland,49.5,31.5,85.4,44,57.8,"26,583",6.5,19%,2016
106,Aarhus University,Denmark,36.9,50.7,79.8,68.3,57.7,"23,895",13.6,14%,2016
106,"University of California, Irvine",United States of America,39.9,41.8,91.6,48.9,57.7,"26,614",16.1,16%,2016
106,University of Mannheim,Germany,34.5,47.7,86.9,85.3,57.7,"11,761",85.8,15%,2016
108,University of Notre Dame,United States of America,47.6,48.1,81.7,33.7,57.6,"11,829",13.8,10%,2016
109,University of Western Australia,Australia,33.4,46.1,83.6,64.5,57.5,"20,851",20.7,27%,2016
110,RWTH Aachen University,Germany,49.4,56.3,63.2,98.1,57.2,"37,917",27.6,16%,2016
110,University of Southampton,United Kingdom,39.8,43.6,82,37.5,57.2,"20,925",13.5,29%,2016
112,Scuola Normale Superiore di Pisa,Italy,54.2,53.1,67.2,52,57.1,462,16.5,5%,2016
113,University of Montreal,Canada,46.3,45.5,69.6,92.6,57,"38,264",20.3,25%,2016
113,Pierre and Marie Curie University,France,52.8,32.7,82.9,37.4,57,"27,862",8.7,18%,2016
